Player Name,Team,Season,Archetype,Composite Score,Salary,Value Per Dollar (VORPD),Offensive Rating (Adjusted),Defensive Rating (Adjusted),ON/OFF Differential,Influence Score,True Shooting %,Blocks Per Game,Steals Per Game,Assist % (Adjusted),Three-Point %,Is Real Shooter,Salary ($M),Rank
Dennis Schröder,BKN,2023-24,Versatile Scorer,51.03,12410100.0,2.7318,2.065006693440432,-1.5376528335564577,3.528945591137757,0.1122635044162991,0.5557599228529662,0.2,0.8,0.1076356983489513,0.3747153662420383,1,12.41,58
Jalen McDaniels,PHI,2022-23,Bench / Role Player,31.58,1017781.0,14.4393,-2.5610409491006467,-1.7073606327337725,0.8060249559944638,0.092881182507809,0.562916257623085,0.4,1.0,-0.0360375047837734,0.3509519030146054,1,1.02,211
Peyton Watson,DEN,2023-24,Bench / Role Player,15.32,3833260.0,0.0,-4.157526980062186,1.394914944210716,-7.406462791832687,0.0884428630024051,0.5527678937650321,1.1,0.5,-0.0575657581854765,0.3454205097087379,1,3.83,370
Keegan Murray,SAC,2022-23,Bench / Role Player,21.57,8914222.0,0.5257,1.0971630311436025,-2.577581641659305,-1.1164706689864694,0.0922881247824157,0.5915905434770242,0.5,0.8,-0.0762753751103265,0.3963198118889866,1,8.91,329
Chris Boucher,TOR,2021-22,Defensive Wing,38.75,1669826.0,10.8993,1.2703717245582031,2.2424375380865214,4.0992818426381215,0.0976067548216474,0.5674811326839966,0.9,0.6,-0.0870744667885435,0.330961905776263,1,1.67,159
Franz Wagner,ORL,2022-23,Perimeter Scorer,56.97,30925749.0,1.2962,1.376164736164725,1.7453796653796758,7.979763492198616,0.1348882212721855,0.5864705272703719,0.2,1.0,0.0249499785499785,0.3638779617470739,1,30.93,47
Bruce Brown,DEN,2022-23,Versatile Scorer,35.72,1836802.0,10.2548,0.2018815716657436,-0.4794687327061352,-5.291706156767035,0.0995967096019012,0.5723948827695473,0.6,1.1,0.0223962368566685,0.3629696439596624,1,1.84,173
Pascal Siakam,IND,2023-24,Perimeter Scorer,47.93,40079866.0,0.7685,-0.1877352052257063,0.4402066881154378,4.257865220944552,0.1491032946335032,0.5964131785340131,0.3,0.8,0.0266713463975821,0.3604906496062992,1,40.08,75
Max Strus,MIA,2022-23,Bench / Role Player,26.69,12747656.0,0.7692,-1.0592074592074672,-1.6140304140304085,-0.2550422797399383,0.0955298646130915,0.5619403800770091,0.2,0.5,-0.0211841491841491,0.3556638247355925,1,12.75,268
Onyeka Okongwu,ATL,2022-23,Two-Way Big,35.81,11998583.0,1.5774,2.567759795570701,0.6837521294718844,2.991515688720592,0.0962518259809666,0.6416788398731111,1.3,0.7,-0.0446652470187393,0.3635862152809072,0,12.0,171
Paolo Banchero,ORL,2023-24,Versatile Scorer,44.71,13493053.0,2.0442,-0.0787878787878777,-2.012121212121208,-6.498797021461791,0.160825061592453,0.550770758878264,0.6,0.9,0.0932727272727272,0.3540020424836601,1,13.49,92
Davion Mitchell,SAC,2022-23,Defensive Wing,32.46,9278904.0,1.6786,-2.284039574388654,1.6218032480866196,0.0069651284166637,0.0780777688531905,0.5576983489513611,0.2,0.6,0.0206104162777673,0.3470529049634475,1,9.28,203
Shaedon Sharpe,POR,2022-23,Bench / Role Player,19.55,6719193.0,0.3968,-0.436977152899826,-1.6282601054481596,-5.047898096693294,0.1061006844104478,0.5704337871529455,0.3,0.5,-0.0534776801405975,0.3637858079318256,1,6.72,336
Moritz Wagner,ORL,2023-24,Perimeter Scorer,33.85,4399497.0,3.8009,1.4094542201014026,-0.939636146734258,1.234716164277018,0.1413456604380484,0.6424802747184017,0.3,0.5,-0.0259191768565463,0.3609711021505376,1,4.4,190
Corey Kispert,WAS,2023-24,Bench / Role Player,23.94,12296593.0,0.554,0.1486139445577818,-2.247785911436454,-1.0591758385350398,0.1162144936773145,0.6084528464780865,0.2,0.5,-0.028608184327373,0.3799476351351351,1,12.3,292
Dorian Finney-Smith,DAL,2021-22,Perimeter Scorer,35.87,9235303.0,1.6589,4.432029117379424,-2.7865332120109207,1.5680350477613283,0.0817185182905697,0.5921631760186212,0.5,1.1,-0.0562711555959963,0.3823255168235858,1,9.24,184
Tyus Jones,MEM,2022-23,Versatile Scorer,42.42,5599339.0,4.5605,0.4825240441003907,-1.532723434201257,-4.2955902969437245,0.0970209903443561,0.5544056591106066,0.1,1.0,0.1223908045977011,0.3696128168081392,1,5.6,112
Evan Fournier,NYK,2021-22,Bench / Role Player,31.56,925258.0,11.8994,1.62677322677323,-3.44805194805195,-4.037910003071372,0.1117188795066213,0.5558153209284644,0.3,1.0,-0.0163266733266733,0.380768558951965,1,0.93,238
