PLAYER_ID,PLAYER_NAME,SEASON,ON_COURT_NET,OFF_COURT_NET,ON_OFF_DIFF,ON_MIN_TOTAL
202681,Kyrie Irving,2022-23,4.79,-1.35,6.14,2246
202681,Kyrie Irving,2023-24,7.12,-2.12,9.24,2031
202683,Enes Freedom,2021-22,9.69,7.43,2.26,410
202684,Tristan Thompson,2021-22,-3.82,-2.86,-0.97,899
202684,Tristan Thompson,2023-24,-1.44,2.85,-4.3,549
202685,Jonas Valančiūnas,2021-22,0.97,-3.25,4.21,2246
202685,Jonas Valančiūnas,2022-23,-0.88,4.95,-5.84,1965
202685,Jonas Valančiūnas,2023-24,3.8,4.63,-0.82,1932
202687,Bismack Biyombo,2021-22,4.83,8.83,-4,510
202687,Bismack Biyombo,2022-23,3.19,2.85,0.34,872
202687,Bismack Biyombo,2023-24,-2.34,-4.65,2.31,792
202688,ID_202688,2021-22,0.88,3.53,-2.65,62
202689,Kemba Walker,2021-22,-8.65,3.22,-11.87,946
202689,Kemba Walker,2022-23,0.18,0.32,-0.14,144
202691,Klay Thompson,2021-22,3.48,6.27,-2.79,938
202691,Klay Thompson,2022-23,3.37,-0.12,3.49,2274
202691,Klay Thompson,2023-24,-0.68,5.78,-6.46,2281
202692,Alec Burks,2021-22,3.04,-3.39,6.42,2316
202692,Alec Burks,2022-23,-0.86,-10.73,9.86,1118
202692,Alec Burks,2023-24,-9.65,-4.13,-5.52,1214
202693,Markieff Morris,2022-23,2.12,0.26,1.86,356
202693,Markieff Morris,2023-24,-14.77,3.65,-18.42,214
202694,Marcus Morris Sr.,2021-22,-4.27,3.44,-7.7,1560
202694,Marcus Morris Sr.,2022-23,0.64,2.43,-1.79,1828
202694,Marcus Morris Sr.,2023-24,-2.01,4.1,-6.1,816
202695,Kawhi Leonard,2022-23,7.96,-3.4,11.36,1751
202695,Kawhi Leonard,2023-24,7.87,-3.42,11.3,2327
202696,Nikola Vučević,2021-22,-1.92,2.13,-4.05,2418
202696,Nikola Vučević,2022-23,-0.1,6.29,-6.38,2743
202696,Nikola Vučević,2023-24,-2.26,1.81,-4.07,2603
202699,Tobias Harris,2021-22,3.38,2.17,1.22,2546
202699,Tobias Harris,2022-23,6,3.1,2.9,2436
202699,Tobias Harris,2023-24,5.01,2.21,2.8,2370
202704,Reggie Jackson,2021-22,-1.27,2.82,-4.08,2340
202704,Reggie Jackson,2022-23,-2.86,3.08,-5.94,1660
202704,Reggie Jackson,2023-24,1.25,8.78,-7.52,1807
202709,Cory Joseph,2021-22,-6.24,-7.29,1.05,1601
202709,Cory Joseph,2022-23,-4.28,-9.59,5.31,1229
202709,Cory Joseph,2023-24,-2.85,2.46,-5.31,293
202710,Jimmy Butler III,2023-24,5.06,-2.35,7.42,2045
202711,Bojan Bogdanovic,2021-22,5.38,7.11,-1.72,2132
202711,Bojan Bogdanovic,2022-23,-8.27,-7.64,-0.63,1894
202711,Bojan Bogdanovic,2023-24,-11.29,-1.5,-9.78,1485
202722,Davis Bertans,2021-22,0.87,-1.11,1.98,809
202722,Davis Bertans,2022-23,-2.23,0.68,-2.91,498
202722,Davis Bertans,2023-24,-6.79,-7.2,0.41,678
202738,Isaiah Thomas,2021-22,-0.8,-0.03,-0.77,319
