PLAYER_A_ID,PLAYER_B_ID,GROUP_NAME,MIN,DEF_SYNERGY,OFF_SYNERGY,NET_SYNERGY,W_NET_SYNERGY_SCALED,ARCHETYPE_A,ARCHETYPE_B
1630530,1641722,T. Murphy III - J. Hawkins,183,2.25,-1.7,0.55,0.44,Perimeter Scorer,Bench / Role Player
202330,1629652,G. Hayward - L. Dort,182,-5.15,-2.25,-7.4,-5.92,Bench / Role Player,Perimeter Scorer
1631172,1641717,O. Dieng - C. Wallace,182,1,-5.2,-4.2,-3.36,Bench / Role Player,Bench / Role Player
1630209,1631323,O. Yurtseven - S. Fontecchio,182,-0.65,-3,-3.65,-2.92,Bench / Role Player,Perimeter Scorer
201976,1627736,P. Beverley - M. Beasley,182,-3,-1.6,-4.6,-3.68,Bench / Role Player,Perimeter Scorer
1629661,1630570,C. Johnson - T. Watford,181,-1.15,-5.05,-6.2,-4.96,Perimeter Scorer,Bench / Role Player
1626153,1631170,D. Wright - J. Jaquez Jr.,181,5.75,-3.9,1.85,1.48,Versatile Scorer,Versatile Scorer
1630165,1631204,K. Hayes - M. Sasser,181,1.55,-1.55,1.42E-14,0,Versatile Scorer,Versatile Scorer
1629003,1629638,S. Milton - N. Alexander-Walker,181,-0.55,-8.35,-8.9,-7.12,Bench / Role Player,Perimeter Scorer
1628449,1630173,C. Boucher - P. Achiuwa,180,-6.25,-0.8,-7.05,-5.64,Defensive Wing,Bench / Role Player
201568,1629673,D. Gallinari - J. Poole,180,-2.9,-9.55,-12.45,-9.96,Bench / Role Player,Versatile Scorer
1628989,1631165,K. Huerter - K. Ellis,180,0.9,4.25,5.15,4.12,Perimeter Scorer,Perimeter Scorer
200768,1630194,K. Lowry - P. Reed,180,3.2,-5.55,-2.35,-1.88,Bench / Role Player,Perimeter Scorer
203496,203954,R. Covington - J. Embiid,180,-2.85,-12.8,-15.65,-12.52,Defensive Wing,Elite Playmaker
203552,1627884,S. Curry - D. Jones Jr.,180,7.3,-5.1,2.2,1.76,Defensive Wing,Bench / Role Player
1629614,1641767,A. Nembhard - B. Sheppard,179,-0.7,-3.45,-4.15,-3.32,Versatile Scorer,Defensive Wing
1628984,1630577,D. Graham - J. Champagnie,179,-3.25,6.4,3.15,2.52,Defensive Wing,Perimeter Scorer
1628401,1629052,D. White - O. Brissett,179,8.15,-3.6,4.55,3.64,Perimeter Scorer,Bench / Role Player
1629022,1630592,L. Walker IV - J. Wilson,179,7.1,-7.45,-0.35,-0.28,Perimeter Scorer,Defensive Wing
202694,203954,M. Morris Sr. - J. Embiid,179,2.35,-3.75,-1.4,-1.12,Bench / Role Player,Elite Playmaker
1629642,1630692,N. Little - J. Goodwin,179,8.8,-4.4,4.4,3.52,Bench / Role Player,Versatile Scorer
1630214,1630583,X. Tillman - S. Aldama,179,4.1,1.2,5.3,4.24,Bench / Role Player,Bench / Role Player
202692,1630173,A. Burks - P. Achiuwa,178,2,-8.9,-6.9,-5.52,Bench / Role Player,Bench / Role Player
1629018,1631241,G. Trent Jr. - J. Freeman-Liberty,178,-3.25,4.35,1.1,0.88,Perimeter Scorer,Bench / Role Player
1628436,1629052,L. Kornet - O. Brissett,178,-0.85,-8.6,-9.45,-7.56,Two-Way Big,Bench / Role Player
