Player Name,Team,Season,Archetype,Composite Score,Salary,Value Per Dollar (VORPD),Offensive Rating (Adjusted),Defensive Rating (Adjusted),ON/OFF Differential,Influence Score,True Shooting %,Blocks Per Game,Steals Per Game,Assist % (Adjusted),Three-Point %,Is Real Shooter,Salary ($M),Rank
Georges Niang,CLE,2023-24,Bench / Role Player,28.65,7215175.0,0.4427,1.2307692307692264,-2.92307692307692,-3.131986647411912,0.1005998667782091,0.581502120105255,0.2,0.4,-0.0869999999999999,0.376,1,7.22,326
Donte DiVincenzo,NYK,2023-24,Perimeter Scorer,52.06,10549993.0,2.5217,3.6769230769230745,-1.3769230769230774,-2.759758257353236,0.1241808979035875,0.5941669756152514,0.4,1.3,0.001076923076923,0.401,1,10.55,95
Terance Mann,LAC,2021-22,Defensive Wing,47.76,11271433.0,1.9788,0.6357142857142861,2.549999999999997,4.676887014630732,0.0895289059648793,0.5702478086934988,0.3,0.7,0.0045714285714285,0.365,1,11.27,138
Cole Anthony,ORL,2023-24,Versatile Scorer,51.83,5276118.0,4.9988,0.607142857142847,-0.4714285714285608,0.8157901666414198,0.1275930142010721,0.5499698887977248,0.5,0.8,0.0559285714285714,0.338,1,5.28,99
Patty Mills,BKN,2021-22,Perimeter Scorer,40.05,925258.0,15.7729,0.7000000000000028,0.6187499999999915,1.1613385906360756,0.0900597902249627,0.562873688906017,0.2,0.6,-0.0226249999999999,0.4,1,0.93,220
Naz Reid,MIN,2023-24,Bench / Role Player,37.33,18963348.0,0.6262,-2.2818181818181955,0.9454545454545524,-1.6308551053425484,0.1320229221719189,0.5920310411296814,0.9,0.8,-0.098090909090909,0.414,1,18.96,250
Malik Beasley,LAL,2022-23,Versatile Scorer,39.27,1017781.0,13.5727,-0.039999999999992,-2.36666666666666,-2.8508811259025872,0.1112041579932063,0.5372181545565523,0.1,0.8,-0.0370666666666666,0.357,1,1.02,213
Terance Mann,LAC,2022-23,Perimeter Scorer,38.3,12398536.0,1.0359,2.1882352941176464,0.5411764705882405,0.8513385906360755,0.0908159517805145,0.60950303208399,0.3,0.5,-0.0309411764705882,0.389,1,12.4,225
Immanuel Quickley,NYK,2022-23,Defensive Wing,61.15,25996931.0,1.373,1.3333333333333286,4.073333333333338,8.03579016664142,0.1172828217185924,0.5777478902393717,0.2,1.0,0.0379333333333333,0.37,1,26.0,48
Jevon Carter,MIL,2022-23,Bench / Role Player,38.16,6143694.0,2.0678,-3.3785714285714192,2.3428571428571274,-1.733074821881211,0.0839440026213641,0.5633825679286183,0.4,0.8,-0.0041428571428571,0.421,1,6.14,226
Buddy Hield,IND,2021-22,Versatile Scorer,47.84,6704330.0,3.3387,0.980000000000004,-1.9266666666666623,3.5546291346040126,0.1176363244999622,0.5497024509344031,0.3,0.9,-0.0281333333333333,0.366,1,6.7,137
Josh Hart,NYK,2023-24,Defensive Wing,54.03,17133611.0,1.6677,2.976923076923072,2.223076923076931,4.516906096374759,0.0707040359278453,0.5316092926905663,0.3,0.9,0.032076923076923,0.31,1,17.13,81
Alec Burks,NYK,2021-22,Perimeter Scorer,54.81,925258.0,31.7252,2.5714285714285694,0.221428571428575,6.699099792353385,0.0956825320566601,0.55954697109158,0.3,1.0,0.0242142857142857,0.404,1,0.93,86
Michael Porter Jr.,DEN,2023-24,Perimeter Scorer,45.35,33729226.0,0.5898,5.645454545454555,-0.5363636363636317,6.8169251781187885,0.1207649678508512,0.5978463754992636,0.7,0.5,-0.0939090909090909,0.397,1,33.73,162
Ayo Dosunmu,CHI,2022-23,Bench / Role Player,35.43,6014104.0,1.6584,-2.845454545454544,-0.3999999999999915,-5.939780808505271,0.0824927418867671,0.5689154612880492,0.3,0.8,0.0103636363636363,0.312,1,6.01,260
Buddy Hield,IND,2022-23,Perimeter Scorer,53.46,7374739.0,3.7973,2.630769230769232,-1.076923076923066,4.684651685756046,0.1248924258378049,0.6092313455502683,0.3,1.2,-0.0238461538461538,0.425,1,7.37,88
Josh Giddey,OKC,2023-24,Versatile Scorer,56.21,21997484.0,1.3981,4.521428571428572,-0.8857142857142861,0.1191466293614542,0.1229260812955961,0.5512380327156777,0.6,0.7,0.112,0.337,1,22.0,71
Dennis Schröder,BKN,2023-24,Versatile Scorer,56.89,12410100.0,2.5329,2.480000000000004,-1.8466666666666784,4.234639542828028,0.1118082286116417,0.5535060822358501,0.2,0.8,0.1292666666666666,0.375,1,12.41,68
Jalen McDaniels,PHI,2022-23,Versatile Scorer,39.46,1017781.0,13.7593,-3.2307692307692264,-2.1538461538461604,1.0124198262893649,0.092524353392683,0.5607536569253516,0.4,1.0,-0.0454615384615384,0.332,1,1.02,209
Peyton Watson,DEN,2023-24,Bench / Role Player,24.15,3833260.0,0.0,-5.554545454545448,1.86363636363636,-9.920853370638545,0.0876927241873569,0.5480795261709805,1.1,0.5,-0.0769090909090909,0.296,1,3.83,364
Keegan Murray,SAC,2022-23,Bench / Role Player,33.43,8914222.0,0.8945,1.3272727272727138,-3.11818181818181,-1.3686527358439111,0.0926101017001625,0.593654498077965,0.5,0.8,-0.0922727272727272,0.411,1,8.91,283
Chris Boucher,TOR,2021-22,Defensive Wing,43.63,1669826.0,10.8838,1.6466666666666754,2.906666666666652,5.294682910428092,0.0977629965088068,0.5683895145860866,0.9,0.6,-0.1128666666666666,0.297,1,1.67,179
Franz Wagner,ORL,2022-23,Perimeter Scorer,62.22,30925749.0,1.1888,1.6399999999999864,2.0800000000000125,9.503535756022709,0.1351214325016601,0.5874844891376529,0.2,1.0,0.0297333333333333,0.361,1,30.93,43
Bruce Brown,DEN,2022-23,Versatile Scorer,44.09,1836802.0,10.1448,0.2461538461538452,-0.5846153846153754,-6.47530494664389,0.0995048975499312,0.5718672272984555,0.6,1.1,0.0273076923076923,0.358,1,1.84,167
Pascal Siakam,IND,2023-24,Perimeter Scorer,54.53,40079866.0,0.7254,-0.2230769230769311,0.5230769230769283,5.04910326176139,0.1495695423084118,0.5982781692336472,0.3,0.8,0.0316923076923076,0.346,1,40.08,77
Onyeka Okongwu,ATL,2022-23,Two-Way Big,43.77,11998583.0,1.5263,3.262500000000003,0.8687499999999915,3.787999474956067,0.0981532433138125,0.6543549554254169,1.3,0.7,-0.0567499999999999,0.3503689839572192,0,12.0,174
Paolo Banchero,ORL,2023-24,Versatile Scorer,51.06,13493053.0,1.8976,-0.0928571428571416,-2.3714285714285666,-7.676433019305248,0.1602528154954248,0.5488110119706331,0.6,0.9,0.1099285714285714,0.339,1,13.49,106
Davion Mitchell,SAC,2022-23,Defensive Wing,40.06,9278904.0,1.5739,-3.0727272727272776,2.181818181818187,-0.0086527358439111,0.0774900766703176,0.553500547645126,0.2,0.6,0.0277272727272727,0.32,1,9.28,205
