PLAYER_A_ID,PLAYER_B_ID,Player Pair,Shared Minutes,Defensive Synergy,Offensive Synergy,Net Synergy,Scaled Net Synergy,Player A Archetype,Player B Archetype
1628389,1629312,B. Adebayo - H. Highsmith,818.0,2.450000000000003,-3.299999999999997,-0.8499999999999943,-0.68,Versatile Scorer,Bench / Role Player
1630703,1631133,S. Henderson - J. Walker,816.0,-1.1500000000000057,1.5,0.3499999999999943,0.28,Versatile Scorer,Bench / Role Player
203924,1641739,J. Grant - T. Camara,816.0,3.0999999999999943,-0.4499999999999886,2.6500000000000057,2.12,Perimeter Scorer,Defensive Wing
201566,202695,R. Westbrook - K. Leonard,815.0,4.349999999999994,-3.200000000000003,1.1499999999999917,0.92,Versatile Scorer,Elite Playmaker
1630577,1631110,J. Champagnie - J. Sochan,811.0,1.1500000000000057,0.2000000000000028,1.3500000000000083,1.08,Defensive Wing,Versatile Scorer
203083,1629632,A. Drummond - C. White,809.0,2.549999999999997,3.549999999999997,6.099999999999994,4.88,Perimeter Scorer,Perimeter Scorer
1629675,1630183,N. Reid - J. McDaniels,807.0,0.8500000000000085,-3.1500000000000057,-2.299999999999997,-1.84,Bench / Role Player,Bench / Role Player
203952,1641764,A. Wiggins - B. Podziemski,806.0,0.8499999999999943,-0.4000000000000057,0.4499999999999886,0.36,Bench / Role Player,Perimeter Scorer
1629636,1630171,D. Garland - I. Okoro,805.0,-1.2499999999999858,0.1000000000000085,-1.1499999999999773,-0.92,Elite Playmaker,Bench / Role Player
1629014,1641739,A. Simons - T. Camara,804.0,1.7999999999999972,-1.6000000000000083,0.1999999999999886,0.16,Elite Playmaker,Defensive Wing
1626179,1628389,T. Rozier - B. Adebayo,799.0,3.75,-0.25,3.5,2.8,Versatile Scorer,Versatile Scorer
1631094,1641710,P. Banchero - A. Black,792.0,-1.0999999999999943,0.0499999999999971,-1.0499999999999972,-0.84,Versatile Scorer,Bench / Role Player
1629028,1641739,D. Ayton - T. Camara,791.0,3.9000000000000057,-0.1500000000000056,3.75,3.0,Perimeter Scorer,Defensive Wing
1627747,1628378,C. LeVert - D. Mitchell,791.0,3.0,-0.7000000000000028,2.299999999999997,1.84,Versatile Scorer,Elite Playmaker
203924,1629014,J. Grant - A. Simons,791.0,-2.299999999999997,-0.75,-3.049999999999997,-2.44,Perimeter Scorer,Elite Playmaker
1628378,1630596,D. Mitchell - E. Mobley,790.0,-0.5500000000000114,-2.6500000000000057,-3.200000000000017,-2.56,Elite Playmaker,Two-Way Big
1626171,1627736,B. Portis - M. Beasley,790.0,3.200000000000003,-1.7999999999999972,1.4000000000000057,1.12,Bench / Role Player,Perimeter Scorer
1628374,1641718,L. Markkanen - K. George,789.0,5.300000000000011,-1.2999999999999972,4.000000000000014,3.2,Perimeter Scorer,Bench / Role Player
203944,1628978,J. Randle - D. DiVincenzo,787.0,-3.4000000000000057,1.5999999999999943,-1.8000000000000114,-1.44,Versatile Scorer,Perimeter Scorer
202681,1630182,K. Irving - J. Green,784.0,0.799999999999983,3.649999999999992,4.449999999999974,3.56,Elite Playmaker,Bench / Role Player
1627777,1628386,G. Niang - J. Allen,781.0,-2.5999999999999943,0.6499999999999915,-1.9500000000000028,-1.56,Bench / Role Player,Two-Way Big
203999,1631128,N. Jokic - C. Braun,780.0,8.749999999999986,0.3999999999999915,9.149999999999975,7.32,Elite Playmaker,Bench / Role Player
204060,1629021,J. Ingles - M. Wagner,779.0,0.5499999999999972,0.7999999999999972,1.3499999999999943,1.08,Perimeter Scorer,Perimeter Scorer
1631117,1641718,W. Kessler - K. George,774.0,-1.1499999999999917,-3.799999999999997,-4.949999999999989,-3.96,Two-Way Big,Bench / Role Player
203924,1629680,J. Grant - M. Thybulle,773.0,2.0,-2.75,-0.75,-0.6,Perimeter Scorer,Perimeter Scorer
1629655,1630166,D. Gafford - D. Avdija,771.0,-2.9000000000000057,2.799999999999983,-0.1000000000000227,-0.08,Two-Way Big,Perimeter Scorer
1629628,1630193,R. Barrett - I. Quickley,769.0,0.7500000000000142,-1.3000000000000114,-0.5499999999999972,-0.44,Perimeter Scorer,Perimeter Scorer
1630191,1631093,I. Stewart - J. Ivey,768.0,1.1999999999999886,1.4000000000000057,2.5999999999999943,2.08,Perimeter Scorer,Versatile Scorer
204456,1630167,T. McConnell - O. Toppin,765.0,2.300000000000012,-1.7999999999999972,0.5000000000000142,0.4,Elite Playmaker,Perimeter Scorer
1631114,1641717,J. Williams - C. Wallace,763.0,2.75,-5.500000000000014,-2.750000000000014,-2.2,Perimeter Scorer,Bench / Role Player
202681,1629023,K. Irving - P. Washington,762.0,7.5,0.8000000000000114,8.300000000000011,6.64,Elite Playmaker,Versatile Scorer
203995,1628970,V. Micic - M. Bridges,762.0,-2.8500000000000085,-0.6499999999999915,-3.5,-2.8,Versatile Scorer,Versatile Scorer
1626224,1629640,C. Osman - K. Johnson,760.0,-2.3499999999999943,-1.1500000000000057,-3.5,-2.8,Bench / Role Player,Bench / Role Player
202696,203897,N. Vucevic - Z. LaVine,760.0,0.5,-2.0,-1.5,-1.2,Versatile Scorer,Versatile Scorer
203924,1627763,J. Grant - M. Brogdon,758.0,1.0999999999999943,1.3499999999999943,2.4499999999999886,1.96,Perimeter Scorer,Elite Playmaker
1628386,1629731,J. Allen - D. Wade,758.0,4.199999999999989,0.8999999999999915,5.09999999999998,4.08,Two-Way Big,Defensive Wing
1626168,1628368,T. Lyles - D. Fox,758.0,2.950000000000003,-0.5499999999999972,2.4000000000000057,1.92,Defensive Wing,Elite Playmaker
203084,1628370,H. Barnes - M. Monk,754.0,-4.399999999999992,-7.25,-11.649999999999991,-9.32,Bench / Role Player,Versatile Scorer
203944,1628404,J. Randle - J. Hart,754.0,3.799999999999983,0.5499999999999972,4.34999999999998,3.48,Versatile Scorer,Defensive Wing
203471,1628969,D. Schröder - M. Bridges,754.0,1.5499999999999972,-4.700000000000003,-3.1500000000000057,-2.52,Versatile Scorer,Versatile Scorer
1627734,1631165,D. Sabonis - K. Ellis,752.0,3.1999999999999886,-3.6000000000000085,-0.4000000000000199,-0.32,Elite Playmaker,Perimeter Scorer
1628378,1629636,D. Mitchell - D. Garland,750.0,0.7999999999999972,-1.0,-0.2000000000000028,-0.16,Elite Playmaker,Elite Playmaker
1628978,1630173,D. DiVincenzo - P. Achiuwa,750.0,0.8499999999999943,-2.950000000000017,-2.1000000000000227,-1.68,Perimeter Scorer,Bench / Role Player
1630167,1631097,O. Toppin - B. Mathurin,748.0,-1.8499999999999943,-2.6999999999999886,-4.549999999999983,-3.64,Perimeter Scorer,Bench / Role Player
201935,1629599,J. Harden - A. Coffey,745.0,-2.1000000000000085,2.450000000000003,0.3499999999999943,0.28,Elite Playmaker,Bench / Role Player
1630224,1641708,J. Green - A. Thompson,745.0,0.75,2.4000000000000057,3.1500000000000057,2.52,Versatile Scorer,Versatile Scorer
1630191,1631105,I. Stewart - J. Duren,745.0,2.450000000000003,0.4000000000000057,2.8500000000000085,2.28,Perimeter Scorer,Perimeter Scorer
1626167,1628971,M. Turner - B. Brown,743.0,0.8500000000000085,7.5,8.350000000000009,6.68,Two-Way Big,Versatile Scorer
203501,1630182,T. Hardaway Jr. - J. Green,743.0,-3.5,-2.799999999999997,-6.299999999999997,-5.04,Bench / Role Player,Bench / Role Player
1627827,1629661,D. Finney-Smith - C. Johnson,743.0,1.950000000000017,2.1500000000000057,4.100000000000023,3.28,Defensive Wing,Perimeter Scorer
202696,1630172,N. Vucevic - P. Williams,742.0,1.3999999999999917,0.2999999999999971,1.6999999999999886,1.36,Versatile Scorer,Perimeter Scorer
203083,1630245,A. Drummond - A. Dosunmu,740.0,0.7999999999999972,-5.149999999999992,-4.349999999999994,-3.48,Perimeter Scorer,Bench / Role Player
1626179,1628970,T. Rozier - M. Bridges,735.0,-3.049999999999997,-0.2999999999999971,-3.3499999999999943,-2.68,Versatile Scorer,Versatile Scorer
1628401,1630573,D. White - S. Hauser,733.0,3.700000000000003,-0.1499999999999914,3.550000000000012,2.84,Perimeter Scorer,Perimeter Scorer
1630191,1641709,I. Stewart - A. Thompson,733.0,1.8999999999999917,-2.5999999999999943,-0.7000000000000028,-0.56,Perimeter Scorer,Defensive Wing
203109,1627736,J. Crowder - M. Beasley,733.0,-0.75,0.0,-0.75,-0.6,Bench / Role Player,Perimeter Scorer
203903,1631117,J. Clarkson - W. Kessler,732.0,1.0499999999999972,-2.550000000000012,-1.5000000000000142,-1.2,Versatile Scorer,Two-Way Big
202710,1631170,J. Butler - J. Jaquez Jr.,729.0,2.450000000000003,4.450000000000003,6.900000000000006,5.52,Elite Playmaker,Versatile Scorer
1629012,1641718,C. Sexton - K. George,727.0,-2.6499999999999915,-1.2999999999999972,-3.9499999999999886,-3.16,Elite Playmaker,Bench / Role Player
1627739,1629012,K. Dunn - C. Sexton,726.0,-2.1999999999999886,4.799999999999997,2.6000000000000085,2.08,Perimeter Scorer,Elite Playmaker
1628436,1630202,L. Kornet - P. Pritchard,726.0,1.8500000000000083,1.4000000000000057,3.250000000000014,2.6,Two-Way Big,Perimeter Scorer
1627783,1628384,P. Siakam - O. Anunoby,724.0,-3.049999999999997,-2.200000000000003,-5.25,-4.2,Perimeter Scorer,Perimeter Scorer
1626167,1630167,M. Turner - O. Toppin,723.0,2.3499999999999943,0.3999999999999915,2.749999999999986,2.2,Two-Way Big,Perimeter Scorer
203076,1629629,A. Davis - C. Reddish,723.0,-0.5499999999999972,-2.6999999999999886,-3.249999999999986,-2.6,Two-Way Big,Bench / Role Player
1629622,1629731,M. Strus - D. Wade,722.0,3.899999999999992,0.7000000000000028,4.599999999999994,3.68,Defensive Wing,Defensive Wing
1629028,1630703,D. Ayton - S. Henderson,722.0,3.049999999999983,-2.6499999999999915,0.3999999999999915,0.32,Perimeter Scorer,Versatile Scorer
1629673,1641731,J. Poole - B. Coulibaly,720.0,-2.1499999999999915,-5.800000000000011,-7.950000000000003,-6.36,Versatile Scorer,Bench / Role Player
